Topic,Count,Symptom_Label,Topic_Purity,Name,Representation,Representative_Docs
9,13,Concentration problems,1.0,9_concentration_lost_lacked_lack,"['concentration', 'lost', 'lacked', 'lack', 'concentrate', 'forgetfulness', 'proper', 'concentra', 'sign', 'fainted', 'doing', 'ha']","['I eeh I have lost concentration', 'He has lost concentration', 'I have lost concentration']"
10,13,Insomnia/Hypersomnia,1.0,10_tulo_sifuna_ssebaka_sifunna,"['tulo', 'sifuna', 'ssebaka', 'sifunna', 'okusumagila', 'enfuna', 'wenatandiika', 'obutebaka', 'sebaka', 'silina', 'eddagala']","['Sifuna tulo', 'Naye era nga sifuna tulo', 'Nga sifuna tulo']"
11,9,Fatigue/Low energy,1.0,11_tired_feel_generally_weak,"['tired', 'feel', 'generally', 'weak', 'tiredness', 'symptoms', 'stressed', 'im', 'body', 'want', 'problem', 'sleep']","[""At times I'm feel so very tired"", 'At times I feel tired', 'Some times I feel so very tired']"
12,9,Over talkative,1.0,12_talk_lot_alot_talking,"['talk', 'lot', 'alot', 'talking']","['Talk a lot like that', 'I talk a lot like that', 'I could talk a lot']"
13,9,Hallucination/Delusions,0.8888888888888888,13_amaloboozi_amabi_ago_amaabi,"['amaloboozi', 'amabi', 'ago', 'amaabi', 'gano', 'olusu', 'nawulira', 'nayasayasa', 'awuliira', 'afuuna', 'afuna', 'piki', 'yamu', 'yadamu', 'olusi', 'nawulidde', 'gangambye', 'awulira']","['Nga afuna amaloboozi amabi', 'Olusu awuliira amaloboozi ago amaabi', 'Olusi awulira amaloboozi ago amabi']"
14,8,Insomnia/Hypersomnia,0.75,14_maze_kali_ssatu_sebakako,"['maze', 'kali', 'ssatu', 'sebakako', 'ennaku', 'noba', 'nyo', 'yadde', 'munaku', 'naku', 'koka', 'banterako', 'kabeerawo', 'kakabaa', 'kekumanga', 'enaku', 'saatu', 'otuulo', 'nnya', 'namala', 'lwakubanga', 'nnyiike', 'nayadde', 'nefuna', 'webaka', 'tewebaka', 'sebaaka', 'amitriptyline', 'sebaka', 'teyebaka']","['Naye kati maze ennaku saatu nga sebaka ko na yadde', 'Naye kati maze enaku ssatu nga sebakako na yadde', 'Naye kati maze ennaku ssatu nga sebakako nayadde']"
15,8,Insomnia/Hypersomnia,1.0,15_sleep_lack_problem_sleepy,"['sleep', 'lack', 'problem', 'sleepy', 'issue', 'ya', 'sleeping']","['There is now problem of sleep', 'Lack of sleep only.', 'Lack of sleep only']"
16,7,Appetite disturbance,0.5714285714285714,16_emubula_appetite_diet_munafu,"['emubula', 'appetite', 'diet', 'munafu', 'kituffu', 'kitufuu', 'ekituffu', 'nfuu', 'omwezi', 'omubiri', 'natambula', 'oguwedde', 'yeyambula', 'ahh', 'nyo', 'engoye']","['Ekituffu appetite emubula', 'Kituffu appetite emubula', 'Kitufuu appetite emubula']"
17,7,Non-Clinical,0.7142857142857143,17_adduka_utabika_namuttuga_hallo,"['adduka', 'utabika', 'namuttuga', 'hallo', 'health', 'makerere']","['utabika Hospital', 'Namuttuga', 'Adduka']"
18,7,Suicidal behaviour,0.8571428571428571,18_want_die_isolate_bit,"['want', 'die', 'isolate', 'bit', 'suicidal', 'dying', 'kill', 'try', 'wake', 'going', 'feeling', 'feel']","['I want to isolate myself', 'I wake up when I was feeling a bit suicidal', 'I want to die']"
19,7,Anxiety spectrum,0.8571428571428571,19_anxiety_problems_excessive_fear,"['anxiety', 'problems', 'excessive', 'fear', 'scared', 'tendencies', 'trauma', 'suicidal', 'suffering', 'fears', 'lot']","['I have problems of trauma and anxiety', 'I have problems of anxiety and excessive fear', 'I have problems with anxiety and excessive fear']"
20,6,Fatigue/Low energy,0.8333333333333334,20_tired_feel_stressed_happy,"['tired', 'feel', 'stressed', 'happy']","['I feel tired.', 'I feel so tired', 'I feel so very tired']"
21,5,Disorganized speech,1.0,21_tebikyakwatagana_byayogera_byayogeera_bitakwatagana,"['tebikyakwatagana', 'byayogera', 'byayogeera', 'bitakwatagana', 'takya', 'nomusanga', 'tebikyakwatagaana', 'avudeko', 'tabitegela', 'yogera', 'kubeera', 'yeyongera', 'bya', 'bubi', 'ayogera']","['Bya yogera tebikyakwatagana', 'Nomusanga nga, avudeko byayogera tabitegela', 'Nga takya byayogera tebikyakwatagana']"
22,5,Suicidal behaviour,1.0,22_nabadde_njagala_butawanya_buffi,"['nabadde', 'njagala', 'butawanya', 'buffi', 'kuntawanya', 'bunzite', 'bunfe', 'bunfebuffi', 'nfe', 'wakubunywa', 'luri', 'buufi', 'naafa', 'ndabe', 'buli', 'atte']","['Anti nabadde njagala bunfe buffi', 'Nabadde njagala bunzite buufi naye atte buli kuntawanya butawanya', 'Nabadde njagala nfe buffi kuntawanya butawanya']"
23,5,Insomnia/Hypersomnia,1.0,23_yadde_teyebakira_kutulo_teyebakiraddala,"['yadde', 'teyebakira', 'kutulo', 'teyebakiraddala', 'kutuulo', 'nebamuwa', 'yafunna', 'tewalinyo', 'nobuzibu', 'tuulo', 'kyamanyi', 'teyebaka', 'kiri', 'eddagala']","['Teyebakira ddala kutuulo yadde', 'Teyebakira ddala ku tuulo yadde', ""Kati yafunna n'obuzibu teyebakira ddala kutulo yadde""]"
